번호 Number,등급 Level,어휘 Vocabulary,품사 Word class,길잡이말 Guide
1,3급,가꾸다,동사,정원을 가꾸다
2,3급,가리다02,동사,얼굴을 가리다
3,3급,갈다01,동사,전구를 갈다
4,3급,감다03,동사,붕대를 감다
5,3급,개다01,동사,날씨가 개다
6,3급,곱하다,동사,수를 곱하다
7,3급,구하다01,동사,일자리를 구하다
8,3급,굶다,동사,밥을 굶다
9,3급,권하다,동사,입원을 권하다
10,3급,그러다,동사,
11,3급,그만하다01,동사,일을 그만하다
12,3급,긋다01,동사,선을 긋다
13,3급,기다,동사,아기가 기다
14,3급,기대다01,동사,벽에 기대다
15,3급,길다01,동사,머리가 길다
16,3급,까다01,동사,껍데기를 까다
17,3급,깨지다,동사,유리가 깨지다
18,3급,꺼지다01,동사,불이 꺼지다
19,3급,꽂다,동사,열쇠를 꽂다
20,3급,끊기다,동사,도로가 끊기다
21,3급,끊어지다,동사,줄이 끊어지다
22,3급,끌다,동사,신발을 끌다
23,3급,끼다02,동사,구름이 끼다
24,3급,나르다,동사,이삿짐을 나르다
25,3급,나빠지다,동사,건강이 나빠지다
26,3급,나아지다,동사,건강이 나아지다
27,3급,나타내다,동사,모습을 나타내다
28,3급,날아가다,동사,새가 날아가다
29,3급,낳다01,동사,아기를 낳다
30,3급,내려놓다,동사,책을 내려놓다
31,3급,내보내다,동사,밖으로 내보내다
32,3급,내주다,동사,거스름돈을 내주다
33,3급,널다,동사,빨래를 널다
34,3급,넘어가다,동사,나무가 넘어가다
35,3급,넘어서다,동사,산을 넘어서다
36,3급,녹다,동사,얼음이 녹다
37,3급,높아지다,동사,파도가 높아지다
38,3급,높이다,동사,건물을 높이다
39,3급,놓이다,동사,마음이 놓이다
40,3급,놓치다,동사,손을 놓치다
41,3급,늘리다,동사,규모를 늘리다
42,3급,늘어나다,동사,사람이 늘어나다
43,3급,다지다02,동사,마늘을 다지다
44,3급,닫히다,동사,창문이 닫히다
45,3급,달다02,동사,단추를 달다
46,3급,달다04,동사,달라고 하다
47,3급,달라지다,동사,장소가 달라지다
48,3급,담그다,동사,발을 담그다
49,3급,담기다01,동사,그릇에 담기다
50,3급,담다,동사,쌀을 담다
51,3급,닿다,동사,손에 닿다
52,3급,대다01,동사,열차 시간에 대다
53,3급,대하다,동사,얼굴을 대하다
54,3급,더러워지다,동사,옷이 더러워지다
55,3급,더하다02,동사,숫자를 더하다
56,3급,덜다,동사,밥을 덜다
57,3급,덮다,동사,이불을 덮다
58,3급,데다,동사,불에 데다
59,3급,데리다,동사,데리고 가다
60,3급,데치다,동사,채소를 데치다
61,3급,도망가다,동사,도둑이 도망가다
62,3급,돌려받다00,동사,책을 돌려받다
63,3급,돌보다,동사,아이를 돌보다
64,3급,돌아다니다,동사,거리를 돌아다니다
65,3급,되돌아오다,동사,편지가 되돌아오다
66,3급,되찾다,동사,안정을 되찾다
67,3급,들려주다,동사,노래를 들려주다
68,3급,들어서다,동사,집에 들어서다
69,3급,들어주다,동사,부탁을 들어주다
70,3급,따다,동사,사과를 따다
71,3급,따라가다,동사,앞사람을 따라가다
72,3급,따라오다,동사,뒤를 따라오다
73,3급,따르다01,동사,뒤를 따르다
74,3급,떠나가다,동사,고향을 떠나가다
75,3급,떠오르다,동사,하늘에 떠오르다
76,3급,떠올리다,동사,추억을 떠올리다
77,3급,떨다01,동사,무서움에 떨다
78,3급,떨리다01,동사,온몸이 떨리다
79,3급,떨어뜨리다,동사,바닥에 떨어뜨리다
80,3급,뚫다,동사,구멍을 뚫다
81,3급,뛰다01,동사,빨리 뛰다
82,3급,뛰어내리다,동사,아래로 뛰어내리다
83,3급,뛰어넘다,동사,담을 뛰어넘다
84,3급,뜨다01,동사,달이 뜨다
85,3급,막다,동사,귀를 막다
86,3급,많아지다,동사,인구가 많아지다
87,3급,말다01,동사,김밥을 말다
88,3급,말리다03,동사,빨래를 말리다
89,3급,맞다02,동사,손님을 맞다
90,3급,맞다03,동사,매를 맞다
91,3급,맞이하다,동사,새해를 맞이하다
92,3급,맡기다,동사,수리를 맡기다
93,3급,맡다01,동사,임무를 맡다
94,3급,맡다02,동사,냄새를 맡다
95,3급,매달다,동사,문에 매달다
96,3급,무서워하다,동사,물을 무서워하다
97,3급,묵다02,동사,호텔에서 묵다
98,3급,묶다,동사,머리를 묶다
99,3급,묻다01,동사,물이 묻다
100,3급,물다01,동사,개가 물다
101,3급,물러나다,동사,뒤로 물러나다
102,3급,물러서다,동사,뒤로 물러서다
103,3급,물리다02,동사,개에 물리다
104,3급,미루다,동사,숙제를 미루다
105,3급,밀리다01,동사,차가 밀리다
