번호 Number,등급 Level,어휘 Vocabulary,품사 Word class,길잡이말 Guide
153,5급,공상,명사,공상에 빠지다
154,5급,공식적01∙ 공식적02,관형사∙ 명사,공식적으로 발표하다
155,5급,공예,명사,도자기 공예
156,5급,공유02,명사,정보 공유
157,5급,공익01,명사,공익을 따르다
158,5급,공중01,명사,공중 예절
159,5급,공중02,명사,공중을 날다
160,5급,공통적01∙ 공통적02,관형사∙ 명사,공통적 의견
161,5급,공포감,명사,공포감을 느끼다
162,5급,공학01,명사,첨단 공학
163,5급,과01,명사,과 대표
164,5급,과대평가,명사,과대평가를 받다
165,5급,과반수,명사,과반수가 넘다
166,5급,과보호,명사,과보호를 받다
167,5급,과소평가,명사,과소평가를 받다
168,5급,과언,명사,과언이 아니다
169,5급,과음,명사,과음을 삼가다
170,5급,과정02,명사,과정을 밟다
171,5급,관공서,명사,관공서에서 근무하다
172,5급,관습,명사,관습을 따르다
173,5급,관용03,명사,관용을 베풀다
174,5급,관용어,명사,관용어 표현
175,5급,관중,명사,야구 관중
176,5급,관청,명사,관청에 취직하다
177,5급,관형사,명사,품사
178,5급,광장,명사,광장에 모이다
179,5급,괴물,명사,괴물이 나타나다
180,5급,교과,명사,교과 수업
181,5급,교도소,명사,교도소에 갇히다
182,5급,교무실,명사,교무실에 들어가다
183,5급,교원,명사,초등학교 교원
184,5급,교육부,명사,교육부 장관
185,5급,교육열,명사,교육열이 높다
186,5급,교육적01∙ 교육적02,관형사∙ 명사,교육적 측면
187,5급,교제,명사,이성 교제
188,5급,교직,명사,교직에 종사하다
189,5급,교훈적01∙ 교훈적02,관형사∙ 명사,교훈적 이야기
190,5급,구간01,명사,통행 구간
191,5급,구경꾼,명사,구경꾼이 모여들다
192,5급,구급차,명사,구급차를 부르다
193,5급,구내식당,명사,구내식당을 이용하다
194,5급,구독,명사,신문 구독
195,5급,구두02,명사,구두로 약속하다
196,5급,구두쇠,명사,지독한 구두쇠
197,5급,구매자,명사,구매자 취향
198,5급,구박,명사,구박을 받다
199,5급,구비02,명사,구비 서류
200,5급,구사,명사,외국어 구사
201,5급,구상02,명사,작품 구상
202,5급,구석구석,명사,구석구석 닦다
203,5급,구성원,명사,사회 구성원
204,5급,구애02,명사,구애를 받다
205,5급,구인01,명사,구인 광고
206,5급,구직,명사,구직 광고
207,5급,구직난00,명사,구직난을 겪다
208,5급,구직자00,명사,구직자를 돕다
209,5급,구청,명사,구청 직원
210,5급,국도,명사,7번 국도
211,5급,국방부,명사,기관
212,5급,국세청,명사,기관
213,5급,국악,명사,국악 공연
214,5급,국익,명사,국익을 도모하다
215,5급,국토,명사,국토를 개발하다
216,5급,군03,명사,군에 입대하다
217,5급,군데군데 01/군데군데02,명사/부사,군데군데 둘러보다
218,5급,굴뚝,명사,공장 굴뚝
219,5급,궁02,명사,궁에 살다
220,5급,궁궐,명사,궁궐을 짓다
221,5급,궁금증,명사,궁금증을 해결하
222,5급,궁중,명사,궁중 음식
223,5급,권위적01∙ 권위적02,관형사∙ 명사,권위적 태도
224,5급,귓속말,명사,귓속말을 나누다
225,5급,그때그때00/그때그때,명사/부사,그때그때 메모하다
226,5급,그물,명사,그물에 걸리다
227,5급,극단적01∙ 극단적02,관형사∙ 명사,극단적 대립
228,5급,근검절약,명사,
229,5급,근로,명사,근로 시간
230,5급,근원,명사,만병의 근원
231,5급,근황,명사,근황을 묻다
232,5급,글쓴이,명사,글쓴이 생각
233,5급,금01,명사,금이 가다
234,5급,금기,명사,금기를 깨다
235,5급,금리,명사,금리가 오르다
236,5급,금메달,명사,금메달을 따다
237,5급,금속,명사,금속으로 만들다
238,5급,금전,명사,금전 거래
239,5급,급02,명사,과장급
240,5급,급상승,명사,물가 급상승
241,5급,급속도,명사,급속도로 번지다
242,5급,급식,명사,무료 급식
243,5급,급여,명사,급여를 지급하다
244,5급,기01,명사,기가 죽다
245,5급,기03,명사,제8기
246,5급,기04,명사,기를 꽂다
247,5급,기관00,명사,호흡 기관
248,5급,기구02,명사,정부 기구
249,5급,기내,명사,기내 방송
250,5급,기대감,명사,기대감을 드러내다
251,5급,기름기,명사,기름기가 많다
252,5급,기린,명사,동물
253,5급,기말,명사,기말 결산
254,5급,기부금,명사,기부금을 내다
255,5급,기상01,명사,기상이 악화되다
256,5급,기상청,명사,기관
257,5급,기성세대,명사,기성세대를 따르다
258,5급,기세,명사,기세를 떨치다
259,5급,기압,명사,기압이 높다
260,5급,기와집,명사,기와집에 살다
261,5급,기원01,명사,간절한 기원
262,5급,기원전,명사,기원전 1세기
263,5급,기원후,명사,기원후 1세기
264,5급,기일02,명사,기일을 지키다
265,5급,기점,명사,기점을 떠나다
266,5급,기증,명사,장기 기증
267,5급,기체01,명사,기체 연료
268,5급,기한,명사,기한을 넘기다
269,5급,기행문,명사,기행문을 쓰다
270,5급,기호01,명사,발음 기호
271,5급,기호02,명사,소비자 기호
272,5급,긴장감,명사,긴장감이 돌다
273,5급,김장,명사,김장을 담그다
274,5급,깃털,명사,깃털이 날리다
275,5급,까치,명사,까치가 울다
276,5급,껍데기,명사,달걀 껍데기
277,5급,꼬마,명사,꼬마 손님
278,5급,꼴01,명사,꼴도 보기 싫다
279,5급,꼴찌,명사,꼴찌가 되다
280,5급,꽃샘추위,명사,꽃샘추위가 물러 가다
281,5급,끈기,명사,끈기가 덜하다
282,5급,끝장,명사,끝장에 이르다
283,5급,끼니,명사,끼니를 거르다
284,5급,나들이,명사,나들이를 다녀오다
285,5급,나열,명사,순서대로 나열
286,5급,나침반,명사,나침반이 가리키다
287,5급,낙,명사,낙이 없다
288,5급,낙관02,명사,낙관을 갖다
289,5급,낙관적01∙ 낙관적02,관형사∙ 명사,낙관적 태도
290,5급,낙방,명사,시험 낙방
291,5급,낙서,명사,낙서를 지우다
292,5급,낙심,명사,낙심이 크다
293,5급,낙원,명사,지상 낙원
294,5급,낙제,명사,시험 낙제
295,5급,낙천적01∙ 낙천적02,관형사∙ 명사,낙천적 기질
296,5급,낚시터,명사,낚시터에서 낚시하다
297,5급,난01,명사,광고를 싣는 난
298,5급,난간,명사,난간에 기대다
299,5급,난치병,명사,난치병을 고치다
300,5급,남극,명사,북극과 남극
301,5급,남녀노소,명사,
302,5급,남색,명사,색
303,5급,남아,명사,남아 선호
304,5급,남한01,명사,남한과 북한
305,5급,남향,명사,남향으로 짓다
306,5급,납부,명사,세금 납부
307,5급,납치,명사,납치를 당하다
308,5급,낭독,명사,시 낭독
309,5급,낭만,명사,낭만을 느끼다
310,5급,낭만적01∙ 낭만적02,관형사∙ 명사,낭만적 분위기
311,5급,낯,명사,낯이 익다
312,5급,낱말,명사,낱말 풀이
313,5급,내기,명사,내기에 이기다
314,5급,내면,명사,인간의 내면
315,5급,내복,명사,겨울 내복
316,5급,내비게이션00,명사,내비게이션을 이용하다
317,5급,내역,명사,지출 내역
318,5급,내용물,명사,내용물을 확인하다
319,5급,냉기,명사,냉기를 느끼다
320,5급,냉대02,명사,냉대 기후
321,5급,너비,명사,너비를 재다
322,5급,널뛰기,명사,널뛰기를 하다
323,5급,네트워크,명사,네트워크를 연결하다
324,5급,노년,명사,노년에 접어들다
325,5급,노동력,명사,노동력이 부족하다
326,5급,노숙자,명사,노숙자 생활
327,5급,노예,명사,노예 제도
328,5급,노을,명사,노을이 지다
329,5급,노처녀,명사,노처녀 히스테리
330,5급,노총각,명사,노총각 아저씨
331,5급,노출,명사,정보 노출
332,5급,노화,명사,노화를 방지하다
333,5급,노후02,명사,노후를 대비하다
334,5급,논,명사,논을 갈다
335,5급,논문,명사,논문을 쓰다
336,5급,논밭,명사,논밭에 심다
337,5급,논술,명사,논술 시험
338,5급,놈01/놈02,의존명사/명사,미운 놈
339,5급,농가,명사,축산 농가
340,5급,농경,명사,농경 생활
341,5급,농도,명사,농도가 짙다
342,5급,농수산물,명사,농수산물을 판매하다
343,5급,농악,명사,농약을 울리다
344,5급,농작물,명사,농작물을 수확하다
