번호 Number,등급 Level,어휘 Vocabulary,품사 Word class,길잡이말 Guide
1,3급,가난,명사,가난을 겪다
2,3급,가능,명사,주차 가능
3,3급,가로01/가로02,명사/부사,가로와 세로
4,3급,가루,명사,가루로 만들다
5,3급,가스,명사,가스 요금
6,3급,가스레인지,명사,가스레인지를 켜다
7,3급,가습기,명사,가습기를 켜다
8,3급,가입,명사,회원 가입
9,3급,가입자,명사,신규 가입자
10,3급,가전제품,명사,가전제품을 구매하다
11,3급,가정01,명사,가정을 이루다
12,3급,가죽,명사,가죽 잠바
13,3급,각자01/각자02,명사/부사,각자가 맡다
14,3급,간01,명사,간을 보다
15,3급,간판,명사,간판을 걸다
16,3급,간호,명사,간호를 받다
17,3급,갈증,명사,갈증이 나다
18,3급,감각,명사,감각이 없다
19,3급,감독,명사,감독을 강화하다
20,3급,감동,명사,감동을 받다
21,3급,감동적01/감동적02,관형사/명사,감동적 이야기
22,3급,감상03,명사,음악 감상
23,3급,감정01,명사,감정이 풍부하다
24,3급,강물,명사,강물이 흐르다
25,3급,강사02,명사,시간 강사
26,3급,개나리,명사,개나리가 피다
27,3급,개인,명사,개인의 자유
28,3급,개인적01/개인적02,관형사/명사,개인적 감정
29,3급,거스름돈,명사,거스름돈을 받다
30,3급,거품,명사,거품이 나다
31,3급,건널목,명사,건널목을 건너다
32,3급,건조02,명사,건조 기후
33,3급,걸레,명사,걸레로 닦다
34,3급,검색,명사,인터넷 검색
35,3급,검토,명사,서류 검토
36,3급,겁,명사,겁이 많다
37,3급,겉옷,명사,겉옷을 벗다
38,3급,게시,명사,안내문 게시
39,3급,게시판,명사,게시판에 붙이다
40,3급,결국02/결국01,명사/부사,결국 해내다
41,3급,결제,명사,카드 결제
42,3급,경기장,명사,실내 경기장
43,3급,경복궁,명사,경복궁에 가다
44,3급,경비01,명사,여행 경비
45,3급,경비실,명사,아파트 경비실
46,3급,경우,명사,그런 경우
47,3급,경제,명사,경제 개발
48,3급,경제적01/경제적02,관형사/명사,경제적 능력
49,3급,경찰관,명사,교통 경찰관
50,3급,곁01,명사,곁에 있다
51,3급,계곡,명사,계곡에서 놀다
52,3급,계약,명사,계약을 맺다
53,3급,계약금,명사,계약금을 받다
54,3급,계좌,명사,계좌 번호
55,3급,고객,명사,고객을 맞다
56,3급,고구마,명사,고구마를 먹다
57,3급,고궁,명사,고궁을 산책하다
58,3급,고백,명사,사랑 고백
59,3급,고생,명사,고생이 심하다
60,3급,고속,명사,고속 도로
61,3급,고추,명사,고추를 따다
62,3급,고춧가루,명사,고춧가루를 뿌리다
63,3급,곤란,명사,곤란한 질문
64,3급,골목,명사,좁은 골목
65,3급,골목길,명사,골목길을 걷다
66,3급,골프,명사,골프 선수
67,3급,곰,명사,동물
68,3급,곳곳,명사,전국 곳곳
69,3급,공03,명사,숫자
70,3급,공간,명사,공간을 차지하다
71,3급,공공,명사,공공 기관
72,3급,공공장소,명사,공공장소를 이용하다
73,3급,공과금,명사,공과금을 내다
74,3급,공기02,명사,공기가 맑다
75,3급,공동,명사,공동 개최
76,3급,공사01,명사,신축 공사
77,3급,공식,명사,공식 발표
78,3급,공연,명사,공연을 보다
79,3급,공연장,명사,공연장에 몰려들다
80,3급,공주,명사,공주와 왕자
81,3급,공중전화,명사,공중전화 박스
82,3급,공통,명사,공통 화제
83,3급,공통점,명사,공통점을 찾다
84,3급,공포02,명사,공포를 느끼다
85,3급,과02,명사,과를 옮기다
86,3급,과로,명사,과로로 쓰러지다
87,3급,과목,명사,시험 과목
88,3급,과식,명사,과식 습관
89,3급,과장02,명사,과장이 심하다
90,3급,과장03,명사,과장으로 승진하다
91,3급,과정01,명사,과정을 겪다
92,3급,과학,명사,과학 기술
93,3급,과학자,명사,과학자가 되다
94,3급,관객,명사,관객이 모여들다
95,3급,관람,명사,연극 관람
96,3급,관람객,명사,영화 관람객
97,3급,관련,명사,관련이 있다
98,3급,관리02,명사,학생 관리
99,3급,관찰,명사,식물 관찰
100,3급,광경,명사,광경을 보다
101,3급,교시01,명사,1교시
102,3급,교외01,명사,교외로 나가다
103,3급,교통수단,명사,교통수단을 이용하다
104,3급,교통편,명사,교통편을 예약하다
105,3급,교포,명사,재일 교포
106,3급,구05,명사,행정 구역
107,3급,구경거리,명사,구경거리가 많다
108,3급,구멍,명사,구멍을 뚫다
109,3급,구역,명사,금연 구역
110,3급,구입,명사,물품 구입
111,3급,구조02,명사,구조를 바꾸다
112,3급,구체적01/구체적02,관형사/명사,구체적 성과
113,3급,국가01,명사,민주 국가
114,3급,국기,명사,국기를 달다
115,3급,국내선,명사,국내선으로 갈아타다
116,3급,국립,명사,국립 미술관
117,3급,국물,명사,국물을 마시다
118,3급,국민,명사,국민 소득
119,3급,국어,명사,국어를 가르치다
120,3급,군대,명사,군대에 가다
121,3급,굽,명사,구두 굽
122,3급,귀하01/귀하02,명사/대명사,김철수 귀하
123,3급,규칙적01/규칙적02,관형사/명사,규칙적 생활
124,3급,그룹,명사,스터디 그룹
125,3급,그제01,명사,그저께
126,3급,그중,명사,그중에서 제일
127,3급,근무,명사,근무를 마치다
128,3급,근육,명사,근육 운동
129,3급,금02,명사,요일
130,3급,금03,명사,금 목걸이
131,3급,금액,명사,금액을 지불하다
132,3급,금연,명사,금연 좌석
133,3급,긍정적01/긍정적02,관형사/명사,긍정적 태도
134,3급,기계,명사,기계가 작동하다
135,3급,기관,명사,공공 기관
136,3급,기구01,명사,운동 기구
137,3급,기념,명사,결혼 기념
138,3급,기념품,명사,기념품을 사다
139,3급,기능02,명사,기능이 다양하다
140,3급,기대,명사,기대를 받다
141,3급,기도02,명사,기도를 드리다
142,3급,기말시험,명사,기말시험을 보다
143,3급,기사01,명사,버스 기사
144,3급,기사02,명사,신문 기사
145,3급,기술자,명사,기술자를 양성하다
146,3급,기억력,명사,기억력이 좋다
147,3급,기업,명사,기업을 운영하다
148,3급,기준,명사,기준을 세우다
149,3급,기초,명사,기초를 다지다
150,3급,기타01,명사,기타 등등
151,3급,긴급,명사,긴급 구조
152,3급,긴팔,명사,긴팔을 입다
153,3급,김01,명사,김이 나다
154,3급,껍질,명사,과일 껍질
155,3급,꼬리,명사,꼬리를 흔들다
156,3급,꽃무늬,명사,꽃무늬 커튼
157,3급,꿀,명사,꿀을 넣다
158,3급,끈,명사,끈을 묶다
159,3급,끼01,명사,끼를 거르다
160,3급,나물01,명사,나물을 다듬다
161,3급,나뭇잎,명사,나뭇잎을 따다
162,3급,나이프,명사,나이프로 썰다
163,3급,낙엽,명사,낙엽을 태우다
164,3급,난로,명사,난로를 피우다
165,3급,난방,명사,난방과 냉방
166,3급,남02,명사,남자
167,3급,남03,명사,남쪽
168,3급,남미,명사,남미 대륙
169,3급,남부,명사,남부 지방
170,3급,내05,명사,기간 내
171,3급,내달,명사,내달 초
172,3급,내성적01/내성적02,관형사/명사,내성적 성격
173,3급,내후년,명사,내후년이 지나다
174,3급,낼모레02/낼모레01,부사/명사,내일 모레
175,3급,냉동,명사,냉동 창고
