번호 Number,등급 Level,어휘 Vocabulary,품사 Word class,길잡이말 Guide
1,4급,가라앉다,동사,바닥에 가라앉다
2,4급,가로막다,동사,길을 가로막다
3,4급,가르다,동사,칼로 가르다
4,4급,가리다03,동사,잘잘못을 가리다
5,4급,가만있다,동사,잠자코 가만있다
6,4급,가져다주다,동사,물건을 가져다주다
7,4급,갇히다,동사,감옥에 갇히다
8,4급,갈라지다,동사,벽이 갈라지다
9,4급,감싸다,동사,얼굴을 감싸다
10,4급,감추다,동사,모습을 감추다
11,4급,갖추다,동사,시설을 갖추다
12,4급,개다03,동사,옷을 개다
13,4급,거두다,동사,빨래를 거두다
14,4급,거들다,동사,일을 거들다
15,4급,거치다,동사,도시를 거치다
16,4급,건네다,동사,돈을 건네다
17,4급,건네주다,동사,돈을 건네주다
18,4급,건드리다,동사,물건을 건드리다
19,4급,건지다,동사,그물을 건지다
20,4급,걷다03,동사,소매를 걷다
21,4급,걷다04,동사,빨래를 걷다
22,4급,걸치다,동사,언덕에 걸치다
23,4급,겁나다,동사,말하기가 겁나다
24,4급,겪다,동사,고통을 겪다
25,4급,견디다,동사,고통을 견디다
26,4급,겹치다,동사,불행이 겹치다
27,4급,고마워하다,동사,부모님께 고마워하다
28,4급,골다,동사,코를 골다
29,4급,괴로워하다,동사,통증으로 괴로워하다
30,4급,괴롭히다,동사,동생을 괴롭히다
31,4급,구르다01,동사,공이 구르다
32,4급,구부리다,동사,허리를 구부리다
33,4급,구하다02,동사,목숨을 구하다
34,4급,굳다01,동사,땅이 굳다
35,4급,굳어지다,동사,땅이 굳어지다
36,4급,굽히다,동사,허리를 굽히다
37,4급,긁다,동사,머리를 긁다
38,4급,금하다,동사,출입을 금하다
39,4급,기울다,동사,액자가 기울다
40,4급,기울이다,동사,몸을 기울이다
41,4급,까먹다,동사,귤을 까먹다
42,4급,깔다,동사,이불을 깔다
43,4급,깔리다,동사,잔디가 깔리다
44,4급,깜박하다,동사,등불이 깜박하다
45,4급,깨다02,동사,그릇을 깨다
46,4급,깨닫다,동사,의미를 깨닫다
47,4급,깨뜨리다,동사,거울을 깨뜨리다
48,4급,깨물다,동사,사탕을 깨물다
49,4급,깨어나다,동사,의식이 깨어나다
50,4급,깨우다,동사,잠을 깨우다
51,4급,꺾다,동사,꽃을 꺾다
52,4급,껴안다,동사,아이를 껴안다
53,4급,꼽다,동사,날짜를 꼽다
54,4급,꼽히다,동사,다섯 손가락 안에 꼽히다
55,4급,꽂히다,동사,꽃이 꽂히다
56,4급,꾸다02,동사,돈을 꾸다
57,4급,꾸리다,동사,이삿짐을 꾸리다
58,4급,꾸미다,동사,외모를 꾸미다
59,4급,꿇다,동사,무릎을 꿇다
60,4급,꿈꾸다,동사,꿈꾸며 자다
61,4급,끄덕이다,동사,고개를 끄덕이다
62,4급,끌리다,동사,바지가 끌리다
63,4급,끌어당기다,동사,의자를 끌어당기다
64,4급,끌어안다,동사,아기를 끌어안다
65,4급,끼다01,동사,문에 끼다
66,4급,끼어들다,동사,틈으로 끼어들다
67,4급,끼우다,동사,단추를 끼우다
68,4급,끼이다,동사,틈에 끼이다
69,4급,끼치다01,동사,소름이 끼치다
70,4급,끼치다02,동사,걱정을 끼치다
71,4급,나뉘다,동사,두 갈래로 나뉘다
72,4급,나무라다,동사,잘못을 나무라다
73,4급,나서다,동사,거리에 나서다
74,4급,나아가다,동사,거리로 나아가다
75,4급,날리다01,동사,눈발이 날리다
76,4급,날리다02,동사,깃발을 날리다
77,4급,날아다니다,동사,나비가 날아다니다
78,4급,날아오다,동사,새가 날아오다
79,4급,낮추다,동사,온도를 낮추다
80,4급,내놓다,동사,밖으로 내놓다
81,4급,내다보다,동사,창밖을 내다보다
82,4급,내려다보다,동사,아래를 내려다보다
83,4급,내려앉다,동사,나비가 내려앉다
84,4급,내밀다,동사,손을 내밀다
85,4급,내버리다,동사,쓰레기를 내버리다
86,4급,내세우다,동사,무대에 내세우다
87,4급,내쫓다,동사,밖으로 내쫓다
88,4급,넓어지다,동사,폭이 넓어지다
89,4급,넓히다,동사,길을 넓히다
90,4급,넘겨주다,동사,물건을 넘겨주다
91,4급,넘기다,동사,해를 넘기다
92,4급,넘어뜨리다,동사,나무를 넘어뜨리다
93,4급,넘어오다,동사,나무가 넘어오다
94,4급,넘치다,동사,강물이 넘치다
95,4급,노려보다,동사,상대를 노려보다
96,4급,녹이다,동사,얼음을 녹이다
97,4급,놀리다01,동사,친구를 놀리다
98,4급,놀리다02,동사,신나게 놀리다
99,4급,놓아두다,동사,책상에 놓아두다
100,4급,놔두다,동사,탁자에 놔두다
101,4급,눈감다,동사,할머니께서 눈감으시다
102,4급,눈뜨다,동사,아침에 눈뜨다
103,4급,눕히다,동사,침대에 눕히다
104,4급,늘어놓다,동사,변명을 늘어놓다
105,4급,늘어서다,동사,차가 늘어서다
