번호 Number,등급 Level,어휘 Vocabulary,품사 Word class,길잡이말 Guide
1514.0,3급,털,명사,털이 빠지다
1515.0,3급,털다,동사,이불을 털다
1516.0,3급,테이프,명사,테이프를 끊다
1517.0,3급,토02,명사,요일
1518.0,3급,토론,명사,찬반 토론
1519.0,3급,토하다,동사,음식을 토하다
1520.0,3급,통04,부사,통 말이 없다
1521.0,3급,통05,명사,통에 담다
1522.0,3급,통신,명사,통신 상태
1523.0,3급,통역,명사,영어 통역
1524.0,3급,통일,명사,남북의 통일
1525.0,3급,통통하다,형용사,몸매가 통통하다
1526.0,3급,통하다,동사,바람이 통하다
1527.0,3급,특기01,명사,취미와 특기
1528.0,3급,특성,명사,신체적 특성
1529.0,3급,특징,명사,독특한 특징
1530.0,3급,틀림없이,부사,틀림없이 맞다
1531.0,3급,틈틈이,부사,틈틈이 하다
1532.0,3급,파01,명사,파를 썰다
1533.0,3급,파다,동사,구멍을 파다
1534.0,3급,파도,명사,파도가 치다
1535.0,3급,파랑01,명사,색
1536.0,3급,파마,명사,파마머리
1537.0,3급,파일,명사,파일로 묶다
1538.0,3급,파출소,명사,파출소에 신고하다
1539.0,3급,판매,명사,판매 가격
1540.0,3급,패션,명사,패션 잡지
1541.0,3급,팬티,명사,팬티를 입다
1542.0,3급,퍼센트,의존명사,백 퍼센트
1543.0,3급,페이지,명사,페이지를 넘기다
1544.0,3급,편02,의존명사,저쪽 편
1545.0,3급,편식,명사,편식이 심하다
1546.0,3급,평가,명사,평가 기준
1547.0,3급,포기02,명사,중도 포기
1548.0,3급,포도주,명사,포도주를 담그다
1549.0,3급,포크,명사,포크로 찍다
1550.0,3급,포함,명사,세금 포함
1551.0,3급,폭포,명사,폭포에 가다
1552.0,3급,표01,명사,표를 그리다
1553.0,3급,표시02,명사,가격 표시
1554.0,3급,표정,명사,표정이 밝다
1555.0,3급,표지판,명사,안내 표지판
1556.0,3급,표현,명사,감정 표현
1557.0,3급,풀01,명사,풀로 붙이다
1558.0,3급,풀리다,동사,나사가 풀리다
1559.0,3급,품질,명사,품질이 뛰어나다
1560.0,3급,풍선,명사,풍선을 띄우다
1561.0,3급,풍습,명사,전통 풍습
1562.0,3급,프린터,명사,프린터로 출력하다
1563.0,3급,플라스틱,명사,플라스틱 용기
1564.0,3급,피로,명사,피로가 쌓이다
1565.0,3급,피부,명사,피부 미용
1566.0,3급,피서,명사,여름 피서
1567.0,3급,피하다,동사,책임을 피하다
1568.0,3급,피해,명사,피해를 입다
1569.0,3급,피해자,명사,사고 피해자
1570.0,3급,하나하나01/하나하나02,명사/부사,하나하나 세다
1571.0,3급,하숙,명사,하숙을 하다
1572.0,3급,하양,명사,색
1573.0,3급,하차,명사,하차 벨
1574.0,3급,하품,명사,하품이 나오다
1575.0,3급,하하01,부사,하하 웃다
1576.0,3급,-학,접사,경제학
1577.0,3급,학과,명사,전공 학과
1578.0,3급,학습,명사,외국어 학습
1579.0,3급,학자,명사,학자를 초청하다
1580.0,3급,한국말,명사,한국말을 배우다
1581.0,3급,한국어,명사,한국어를 배우다
1582.0,3급,한국인,명사,한국인 친구
1583.0,3급,한동안,명사,한동안 계속되다
1584.0,3급,한때01/한때02,명사/부사,한때의 감정
1585.0,3급,한문,명사,한문을 읽다
1586.0,3급,한숨02,명사,한숨을 쉬다
1587.0,3급,한자,명사,한자를 읽다
1588.0,3급,한쪽,명사,한쪽으로 기울어지다
1589.0,3급,한참00/한참,명사/부사,한참 기다리다
1590.0,3급,할인점,명사,가구 할인점
1591.0,3급,합격,명사,시험 합격
1592.0,3급,합계,명사,합계를 구하다
1593.0,3급,합치다,동사,하나로 합치다
1594.0,3급,항공료,명사,항공료가 오르다
1595.0,3급,해결,명사,문제 해결
1596.0,3급,해돋이,명사,해돋이를 감상하다
1597.0,3급,해물,명사,해물 파전
1598.0,3급,해변,명사,해변을 거닐다
1599.0,3급,해산물,명사,해산물 요리
1600.0,3급,해수욕장,명사,해수욕장에 가다
1601.0,3급,핸드백,명사,핸드백을 메다
1602.0,3급,햇볕,명사,햇볕을 쬐다
1603.0,3급,-행,접사,서울행
1604.0,3급,행사장,명사,행사장 안내
1605.0,3급,행운,명사,행운이 오다
1606.0,3급,향수,명사,향수를 뿌리다
1607.0,3급,향하다,동사,눈길이 향하다
1608.0,3급,허락,명사,결혼 허락
1609.0,3급,허리띠,명사,허리띠를 매다
1610.0,3급,허벅지,명사,허벅지가 두껍다
1611.0,3급,현관,명사,집 현관
1612.0,3급,현대,명사,현대 문명
1613.0,3급,형태,명사,건물의 형태
1614.0,3급,호두,명사,호두 파이
1615.0,3급,호박,명사,호박 농사
1616.0,3급,호실,명사,2호실
1617.0,3급,혹은,부사,아들 혹은 딸
1618.0,3급,혼나다,동사,아파서 혼나다
1619.0,3급,홈페이지,명사,홈페이지에 접속하다
1620.0,3급,화02,명사,요일
1621.0,3급,화면,명사,텔레비전 화면
1622.0,3급,화분,명사,화분에 심다
1623.0,3급,화장01,명사,화장이 진하다
1624.0,3급,화장대,명사,화장대에 앉다
1625.0,3급,화재,명사,화재 신고
1626.0,3급,화폐,명사,전자 화폐
1627.0,3급,화해,명사,화해를 청하다
1628.0,3급,확인,명사,사실 확인
1629.0,3급,환불,명사,요금 환불
1630.0,3급,환상적01/환상적02,관형사/명사,환상적인 이야기
1631.0,3급,환승역,명사,지하철 환승역
1632.0,3급,환영회,명사,신입생 환영회
1633.0,3급,환율,명사,환율이 오르다
1634.0,3급,환하다,형용사,불빛이 환하다
1635.0,3급,활동,명사,야외 활동
1636.0,3급,활발하다,형용사,교류가 활발하다
1637.0,3급,활짝,부사,활짝 열다
1638.0,3급,회02,명사,회를 먹다
1639.0,3급,회비,명사,회비를 내다
1640.0,3급,회식,명사,부서 회식
1641.0,3급,회의실,명사,회의실에 모이다
1642.0,3급,회장01,명사,회장을 뽑다
1643.0,3급,횟수,명사,횟수를 세다
1644.0,3급,효과,명사,약 효과
1645.0,3급,후반,명사,후반 경기
1646.0,3급,후식,명사,후식을 먹다
1647.0,3급,후추,명사,후추를 뿌리다
1648.0,3급,후회,명사,늦은 후회
1649.0,3급,휴가철,명사,휴가철이 시작되다
1650.0,3급,휴대,명사,휴대가 간편하다
1651.0,3급,휴식,명사,휴식 시간
1652.0,3급,휴학,명사,휴학 신청
1653.0,3급,흘러가다,동사,시냇물이 흘러가다
1654.0,3급,희다00,형용사,흰 종이
1655.0,3급,희생,명사,희생을 감수하다
