번호 Number,등급 Level,어휘 Vocabulary,품사 Word class,길잡이말 Guide
1,4급,가만01,부사,가만 놔두다
2,4급,가만히,부사,가만히 두다
3,4급,간신히,부사,간신히 견디다
4,4급,간절하다,형용사,간절한 기도
5,4급,간지럽다,형용사,눈이 간지럽다
6,4급,간편하다,형용사,사용이 간편하다
7,4급,간혹02/간혹01,부사/명사,간혹 생기다
8,4급,갈수록,부사,갈수록 늘어나다
9,4급,감히,부사,감히 대들다
10,4급,갑작스럽다,형용사,갑작스러운 일
11,4급,값싸다,형용사,값싼 물건
12,4급,거칠다,형용사,피부가 거칠다
13,4급,걱정스럽다,형용사,자식이 걱정스럽다
14,4급,게다가01,부사,
15,4급,결코,부사,결코 어렵지 않다
16,4급,고급스럽다,형용사,자동차가 고급스럽다
17,4급,고소하다 01,형용사,맛이 고소하다
18,4급,고통스럽다,형용사,고통스러운 표정
19,4급,곧다,형용사,다리가 곧다
20,4급,곧바로,부사,곧바로 처리하다
21,4급,곧잘,부사,곧잘 하다
22,4급,공손하다,형용사,공손한 태도
23,4급,과연,부사,과연 대단하다
24,4급,괜히,부사,괜히 이야기하다
25,4급,괴롭다,형용사,마음이 괴롭다
26,4급,굉장하다,형용사,굉장한 발전
27,4급,굳이,부사,굳이 말하다
28,4급,귀중하다,형용사,귀중한 보석
29,4급,귀하다,형용사,귀한 신분
30,4급,그나마,부사,그나마 낫다
31,4급,그다지,부사,그다지 춥지 않다
32,4급,그럭저럭,부사,그럭저럭 견디다
33,4급,그런대로,부사,그런대로 괜찮다
34,4급,그리01,부사,그리 가다
35,4급,그만큼01/ 그만큼02,부사/명사,그만큼 남다
36,4급,그야말로,부사,그야말로 최고다
37,4급,그제야,부사,그제야 끝나다
38,4급,그토록,부사,그토록 아름답다
39,4급,극히,부사,극히 드물다
40,4급,급격히,부사,급격히 감소하다
41,4급,급속히,부사,급속히 진행되다
42,4급,급히,부사,급히 먹다
43,4급,까다롭다,형용사,조건이 까다롭다
44,4급,깜깜하다,형용사,방이 깜깜하다
45,4급,꼭01,부사,꼭 누르다
46,4급,꼼꼼하다,형용사,꼼꼼한 성격
47,4급,꼼꼼히,부사,꼼꼼히 살피다
48,4급,꾸준하다,형용사,꾸준한 인기
49,4급,끊임없다,형용사,손님이 끊임없다
50,4급,끊임없이,부사,끊임없이 이어지다
51,4급,끝없다,형용사,욕심이 끝없다
