번호 Number,등급 Level,어휘 Vocabulary,품사 Word class,길잡이말 Guide
1,5급,가급적01/ 가급적02,명사/부사,가급적 빨리
2,5급,가느다랗다,형용사,손가락이 가느다랗다
3,5급,가지런히,부사,가지런히 꽂다
4,5급,간간이,부사,간간이 나타나다
5,5급,간결하다,형용사,디자인이 간결하다
6,5급,간소하다,형용사,옷차림이 간소하다
7,5급,간절히,부사,간절히 바라다
8,5급,감미롭다,형용사,음악이 감미롭다
9,5급,갑갑하다,형용사,마음이 갑갑하다
10,5급,값지다,형용사,값진 보석
11,5급,강력히,부사,강력히 주장하다
12,5급,강렬하다,형용사,빛이 강렬하다
13,5급,거세다,형용사,바람이 거세다
14,5급,격렬하다,형용사,싸움이 격렬하다
15,5급,경솔하다,형용사,경솔한 말
16,5급,경쾌하다,형용사,기분이 경쾌하다
17,5급,고단하다,형용사,몸이 고단하다
18,5급,고르다03,형용사,치아가 고르다
19,5급,고상하다,형용사,말투가 고상하다
20,5급,고생스럽다,형용사,생활이 고생스럽다
21,5급,고작01/고작02,명사/부사,고작 이 정도
22,5급,공평하다,형용사,공평한 세상
23,5급,과감하다,형용사,과감한 행동
24,5급,과도하다,형용사,과도한 경쟁
25,5급,과하다01,형용사,욕심이 과하다
26,5급,관대하다02,형용사,마음이 관대하다
27,5급,군데군데 01/군데군데02,명사/부사,군데군데 둘러보다
28,5급,그때그때00/그때그때,명사/부사,그때그때 메모하다
29,5급,그리02,부사,그리 알다
30,5급,그리하여,부사,
31,5급,극심하다,형용사,피해가 극심하다
32,5급,근사하다,형용사,옷차림이 근사하다
33,5급,금세,부사,금세 잠들다
34,5급,급격하다,형용사,변화가 급격하다
35,5급,기름지다,형용사,음식이 기름지다
36,5급,기막히다,형용사,경치가 기막히다
37,5급,기발하다,형용사,생각이 기발하다
38,5급,까딱,부사,까딱 움직이다
39,5급,깡충깡충,부사,깡충깡충 뛰다
40,5급,꼬르륵,부사,꼬르륵 소리가 나다
41,5급,꼬박01,부사,밤을 꼬박 새다
42,5급,꼬박꼬박,부사,돈을 꼬박꼬박 내다
43,5급,꼭꼭01,부사,꼭꼭 씹어 먹다
44,5급,꼼짝없이,부사,꼼짝없이 당하다
45,5급,꽁꽁,부사,꽁꽁 얼다
46,5급,꾸벅꾸벅01,부사,꾸벅꾸벅 졸다
47,5급,끔찍하다,형용사,끔찍한 사건
48,5급,나날이,부사,나날이 늘다
49,5급,날로01,부사,날로 번창하다
50,5급,남다르다,형용사,재능이 남다르다
51,5급,남몰래,부사,남몰래 돕다
52,5급,납작하다,형용사,코가 납작하다
53,5급,낯익다,형용사,얼굴이 낯익다
54,5급,너무하다01/너무하다02,동사/형용사,정말 너무하다
55,5급,네모나다,형용사,얼굴이 네모나다
56,5급,누렇다,형용사,이가 누렇다
57,5급,능숙하다,형용사,솜씨가 능숙하다
58,5급,다급하다,형용사,상황이 다급하다
59,5급,다름없이,부사,평소와 다름없이
60,5급,단05,부사,
61,5급,단조롭다,형용사,생활이 단조롭다
62,5급,대견하다,형용사,자식이 대견하다
63,5급,대대로,부사,자손 대대로
64,5급,대체00/대 체01,명사/부사,대체 왜 그래?
65,5급,더없이,부사,더없이 만족하다
66,5급,덜하다,형용사,고생이 덜하다
67,5급,동동02,부사,발을 동동 구르다
68,5급,두텁다,형용사,친분이 두텁다
69,5급,둔하다,형용사,머리가 둔하다
70,5급,듬뿍,부사,듬뿍 담다
71,5급,따갑다,형용사,따가운 햇볕
72,5급,딱02,부사,딱 그치다
73,5급,떠들썩하다01/떠들썩하다02,동사/형용사,동네가 떠들썩하다
74,5급,떡02,부사,떡 벌어진 어깨
75,5급,떫다,형용사,감이 떫다
76,5급,떳떳하다,형용사,행동이 떳떳하다
77,5급,또렷하다,형용사,기억이 또렷하다
78,5급,똑00,부사,똑 닮다
79,5급,똑똑,부사,똑똑 두드리다
80,5급,뚜렷이,부사,뚜렷이 구별되다
81,5급,뚝02,부사,울음을 뚝 그치다
82,5급,뚝뚝01,부사,뚝뚝 떨어지다
83,5급,뜸하다,형용사,소식이 뜸하다
84,5급,마저,부사,마저 먹다
85,5급,막막하다02,형용사,앞길이 막막하다
86,5급,매끄럽다,형용사,피부가 매끄럽다
87,5급,매사01/ 매사02,명사/부사,매사 성실하다
88,5급,매섭다,형용사,눈초리가 매섭다
89,5급,매콤하다,형용사,맛이 매콤하다
90,5급,머지않다,형용사,승리가 머지 않다
91,5급,먹음직스럽다,형용사,음식이 먹음직스럽다
92,5급,멍청하다,형용사,행동이 멍청하다
93,5급,멍하니,부사,멍하니 바라보다
94,5급,멍하다,형용사,정신이 멍하다
95,5급,메마르다,형용사,메마른 땅
96,5급,명백히,부사,명백히 밝히다
97,5급,명확히,부사,명확히 밝히다
98,5급,모조리,부사,모조리 사라지다
99,5급,무난하다,형용사,무난한 승리
100,5급,무뚝뚝하다,형용사,무뚝뚝한 표정
101,5급,무시무시하다,형용사,무시무시한 괴물
102,5급,무심코,부사,무심코 지나치다
103,5급,뭉클하다,형용사,가슴이 뭉클하다
104,5급,민감하다,형용사,피부가 민감하다
105,5급,믿음직스럽다,형용사,믿음직스러운 사람
106,5급,반듯하다,형용사,모양이 반듯하다
107,5급,밤낮없이,부사,밤낮없이 일하다
108,5급,버럭,부사,버럭 화를 내다
109,5급,버릇없다,형용사,버릇없는 행동
110,5급,벅차다,형용사,생활이 벅차다
111,5급,번번이,부사,번번이 실수하다
112,5급,벌겋다,형용사,벌건 김치
113,5급,변함없다,형용사,변함없는 맛
114,5급,변함없이,부사,변함없이 같다
115,5급,별나다,형용사,성격이 별나다
116,5급,보글보글,부사,보글보글 끓다
117,5급,부시다02,형용사,눈이 부시다
118,5급,부유하다02,형용사,집안이 부유하다
119,5급,부쩍,부사,부쩍 늘다
120,5급,분주하다02,형용사,분주한 아침
121,5급,불과하다,형용사,절반에 불과하다
122,5급,불길하다,형용사,불길한 느낌
123,5급,불행히,부사,불행히 살다
124,5급,비좁다,형용사,방이 비좁다
