번호 Number,등급 Level,어휘 Vocabulary,품사 Word class,길잡이말 Guide
257,6급,찌들다,동사,땀에 찌들다
258,6급,찔리다,동사,바늘에 찔리다
259,6급,찧다,동사,방아를 찧다
260,6급,채다03,동사,눈치를 채다
261,6급,처지다,동사,눈꺼풀이 처지다
262,6급,추리다,동사,지원자를 추리다
263,6급,치닫다,동사,위로 치닫다
264,6급,치밀다,동사,위로 치밀다
265,6급,치솟다,동사,불길이 치솟다
266,6급,치우치다,동사,한쪽으로 치우치다
267,6급,치켜들다,동사,고개를 치켜들다
268,6급,칭하다,동사,황제로 칭하다
269,6급,캐다,동사,나물을 캐다
270,6급,캐묻다,동사,
271,6급,큰소리치다,동사,아내에게 큰소리 치다
272,6급,타이르다,동사,아이를 타이르다
273,6급,터트리다,동사,폭탄을 터트리다
274,6급,털어놓다,동사,사실을 털어놓다
275,6급,통틀다,동사,모든 것을 통틀어
276,6급,트다01,동사,싹이 트다
277,6급,트다02,동사,길을 트다
278,6급,틀어막다,동사,귀를 틀어막다
279,6급,틀어박히다,동사,방에 틀어박히다
280,6급,티격태격하다,동사,동생과 티격태격하다
281,6급,파내다,동사,땅을 파내다
282,6급,파헤치다,동사,땅을 파헤치다
283,6급,팽개치다,동사,가방을 팽개치다
284,6급,퍼붓다,동사,눈이 퍼붓다
285,6급,편들다,동사,한쪽을 편들다
286,6급,풀어내다,동사,문제를 풀어내다
287,6급,풀어놓다,동사,개를 풀어놓다
288,6급,한정하다,동사,범위를 한정하다
289,6급,한하다,동사,고객에 한하여
290,6급,할퀴다,동사,손톱으로 할퀴다
291,6급,허물다02,동사,건물을 허물다
292,6급,헐다02,동사,건물을 헐다
293,6급,헐뜯다,동사,남을 헐뜯다
294,6급,헤어나다,동사,가난에서 헤어나다
295,6급,헤집다,동사,방 안을 헤집다
296,6급,헤치다,동사,물살을 헤치다
297,6급,헹구다,동사,그릇을 헹구다
298,6급,형용하다,동사,말로 형용하다
299,6급,환호,동사,환호를 보내다
300,6급,훑다,동사,대충 훑다
301,6급,훑어보다,동사,책을 훑어보다
302,6급,훔쳐보다,동사,일기를 훔쳐보다
303,6급,휘다,동사,허리가 휘다
304,6급,휘두르다,동사,칼을 휘두르다
305,6급,휘말리다,동사,싸움에 휘말리다
306,6급,휘젓다,동사,국을 휘젓다
307,6급,휩싸이다,동사,불길에 휩싸이다
308,6급,휩쓸다,동사,태풍이 휩쓸다
309,6급,휩쓸리다,동사,강풍에 휩쓸리다
310,6급,흐느끼다,동사,흐느끼는 소리
311,6급,흘기다,동사,눈을 흘기다
312,6급,흘러들다,동사,바다로 흘러들다
313,6급,힐끔거리다,동사,옆을 힐끔거리다
314,6급,힘입다,동사,성원에 힘입다
