번호 Number,등급 Level,어휘 Vocabulary,품사 Word class,길잡이말 Guide
1,5급,가리다01,동사,구름에 가리다
2,5급,가시다,동사,피로가 가시다
3,5급,갈다02,동사,칼을 갈다
4,5급,감기다02,동사,줄에 감기다
5,5급,거느리다,동사,백성을 거느리다
6,5급,거닐다,동사,거리를 거닐다
7,5급,걷어차다,동사,발로 걷어차다
8,5급,겁내다,동사,죽음을 겁내다
9,5급,겸하다,동사,두 직업을 겸하다
10,5급,고이다,동사,물이 고이다
11,5급,관련짓다,동사,관련지어 말하다
12,5급,관하다,동사,사랑에 관한 글
13,5급,구겨지다,동사,옷이 구겨지다
14,5급,구르다02,동사,발을 구르다
15,5급,굳히다,동사,시멘트를 굳히다
16,5급,굴러가다,동사,바퀴가 굴러가다
17,5급,그리다01,동사,고향을 그리다
18,5급,기하다,동사,신중을 기하다
19,5급,깜짝하다01,동사,눈을 깜짝하다
20,5급,꺼지다02,동사,땅이 꺼지다
21,5급,꺾이다,동사,나뭇가지가 꺾이다
22,5급,꼬다,동사,다리를 꼬다
23,5급,꾸짖다,동사,잘못을 꾸짖다
24,5급,꿰매다,동사,옷을 꿰매다
25,5급,끄집어내다,동사,구석에서 끄집어 내다
26,5급,끊이다,동사,손님이 끈이지 않다
27,5급,끌어내다,동사,밖으로 끌어내다
28,5급,끌어들이다,동사,안으로 끌어들이다
29,5급,끌어올리다,동사,수준을 끌어올리다
30,5급,끝맺다,동사,일을 끝맺다
31,5급,나돌다,동사,밖으로 나돌다
32,5급,낚다,동사,물고기를 낚다
33,5급,날아들다,동사,새가 날아들다
34,5급,날아오르다,동사,새가 날아오르다
35,5급,내딛다,동사,걸음을 내딛다
36,5급,내리치다,동사,뒤통수를 내리치다
37,5급,내뱉다,동사,한숨을 내뱉다
38,5급,내보이다02,동사,신분증을 내보이다
39,5급,내비치다,동사,햇살이 내비치다
40,5급,내쉬다,동사,한숨을 내쉬다
41,5급,내오다,동사,물건을 내오다
42,5급,내지르다,동사,소리를 내지르다
43,5급,너무하다01/너무하다02,동사/형용사,정말 너무하다
44,5급,놓아주다,동사,물고기를 놓아주다
45,5급,누다,동사,오줌을 누다
46,5급,누리다01,동사,행복을 누리다
47,5급,눈치채다00,동사,실수를 눈치채다
48,5급,눌리다01,동사,짐에 눌리다
49,5급,뉘우치다,동사,잘못을 뉘우치다
50,5급,늘어지다,동사,피부가 늘어지다
51,5급,다다르다,동사,정상에 다다르다
52,5급,다스리다,동사,나라를 다스리다
53,5급,다시다,동사,입맛을 다시다
54,5급,닥치다01,동사,불행이 닥치다
55,5급,달다03,동사,무게를 달다
56,5급,달리하다,동사,생각을 달리하다
57,5급,더듬거리다,동사,말을 더듬거리다
58,5급,덧나다,동사,상처가 덧나다
59,5급,도둑맞다,동사,물건을 도둑맞다
60,5급,돋보이다,동사,실력이 돋보이다
61,5급,돋우다,동사,화를 돋우다
62,5급,돌이키다,동사,발걸음을 돌이키다
63,5급,되돌아보다,동사,뒤를 되돌아보다
64,5급,되묻다,동사,몇 번이고 되묻다
65,5급,두근거리다,동사,가슴이 두근거리다
66,5급,두들기다,동사,망치를 두들기다
67,5급,뒤덮다,동사,눈이 산을 뒤덮다
68,5급,뒤엎다,동사,카드를 뒤엎다
69,5급,뒤집어쓰다,동사,모자를 뒤집어쓰다
70,5급,뒤집히다,동사,옷이 뒤집히다
71,5급,뒤처지다,동사,실력이 뒤처지다
72,5급,뒤척이다,동사,몸을 뒤척이다
73,5급,뒤흔들다,동사,바람이 뒤흔들다
