번호 Number,등급 Level,어휘 Vocabulary,품사 Word class,길잡이말 Guide
1,3급,가득하다,형용사,물이 가득하다
2,3급,가득히,부사,가득히 넣다
3,3급,가렵다,형용사,몸이 가렵다
4,3급,가로01/가로02,명사/부사,가로와 세로
5,3급,각자01/각자02,명사/부사,각자가 맡다
6,3급,거꾸로,부사,거꾸로 뒤집히다
7,3급,검다,형용사,색깔이 검다
8,3급,겨우,부사,겨우 몇 개
9,3급,결국02/결국01,명사/부사,결국 해내다
10,3급,곧이어,부사,곧이어 시작하다
11,3급,곧장,부사,곧장 가다
12,3급,골고루,부사,골고루 먹다
13,3급,곱다01,형용사,고운 얼굴
14,3급,관계없다,형용사,관계없는 일
15,3급,관계없이,부사,시간에 관계없이
16,3급,관계있다,형용사,주제와 관련 있다
17,3급,굉장히,부사,굉장히 좋아하다
18,3급,구수하다,형용사,맛이 구수하다
19,3급,그저,부사,그저 웃기만 하다
20,3급,그제02,부사,
21,3급,근데,부사,
22,3급,깔끔하다,형용사,방이 깔끔하다
23,3급,깜빡,부사,깜빡 켜지다
24,3급,꼼짝,부사,꼼짝 못하다
25,3급,꽉,부사,꽉 누르다
26,3급,꽤,부사,꽤 멀다
27,3급,꾸준히,부사,꾸준히 노력하다
28,3급,끝내,부사,끝내 모르다
29,3급,낡다,형용사,옷이 낡다
30,3급,낯설다,형용사,얼굴이 낯설다
31,3급,내내,부사,일 년 내내
32,3급,낼모레02/낼모레01,부사/명사,내일 모레
33,3급,냉정하다01,형용사,성격이 냉정하다
34,3급,널리,부사,널리 알려지다
35,3급,눈부시다,형용사,조명이 눈부시다
36,3급,다행히,부사,다행히 찾다
37,3급,단단하다,형용사,뼈가 단단하다
38,3급,단정하다01,형용사,옷차림이 단정하다
39,3급,달콤하다,형용사,케이크가 달콤하다
40,3급,당연하다,형용사,당연한 결과
41,3급,당연히,부사,당연히 다르다
42,3급,대단하다,형용사,추위가 대단하다
43,3급,대체로,부사,대략
44,3급,덜,부사,덜 익다
45,3급,동그랗다,형용사,얼굴이 동그랗다
46,3급,둥글다01,형용사,지구가 둥글다
47,3급,따라서,부사,
48,3급,따로따로,부사,따로따로 움직이다
49,3급,따르릉,부사,따르릉 울리다
50,3급,딱03,부사,딱 알맞다
51,3급,딱딱하다,형용사,딱딱한 껍질
52,3급,때때로,부사,때때로 변하다
53,3급,또한,부사,나 또한
54,3급,똑똑히,부사,똑똑히 기억하다
55,3급,뛰어나다,형용사,솜씨가 뛰어나다
56,3급,마음대로,부사,마음대로 되다
57,3급,마침,부사,
58,3급,막01,부사,막 잠들다
59,3급,막02,부사,막 쓰다
60,3급,만족스럽다,형용사,만족스러운 결과
61,3급,멋지다,형용사,경치가 멋지다
62,3급,몰래,부사,몰래 도망가다
63,3급,무조건02/무조건01,부사/명사,무조건 화를 내다
64,3급,미끄럽다,형용사,길이 미끄럽다
65,3급,밉다,형용사,하는 짓이 밉다
66,3급,및,부사,설계 및 시공
67,3급,밤늦다,형용사,밤늦은 시각
68,3급,배고프다,형용사,배고프고 목마르다
69,3급,분명히,부사,분명히 기억하다
70,3급,불만족스럽다,형용사,서비스가 불만족 스럽다
71,3급,살짝,부사,살짝 움직이다
72,3급,상관없다,형용사,상관없는 문제
73,3급,새로이,부사,새로이 시작하다
74,3급,서투르다,형용사,서투른 운전
75,3급,세련되다,형용사,옷차림이 세련되다
76,3급,세로01/세로02,명사/부사,세로와 가로
77,3급,속상하다,형용사,속상한 마음
78,3급,습하다,형용사,습한 공기
79,3급,신기하다01,형용사,신기한 일
80,3급,실제로,부사,실제로 일어나다
81,3급,실컷,부사,실컷 놀다
82,3급,심각하다,형용사,문제가 심각하다
83,3급,싱싱하다,형용사,싱싱한 꽃
84,3급,어느새,부사,어느새 다 자라다
85,3급,어저께02/어저께01,부사/명사,어저께 아침
86,3급,어지럽다,형용사,머리가 어지럽다
87,3급,얼른,부사,얼른 일어나다
88,3급,없이,부사,사고 없이
89,3급,엊그제02/엊그제01,명사/부사,엊그제 아침
90,3급,여유롭다,형용사,여유로운 삶
91,3급,연하다,형용사,고기가 연하다
92,3급,영01,부사,
93,3급,영리하다,형용사,영리한 학생
94,3급,영원히,부사,영원히 사랑하다
95,3급,예컨대,부사,
96,3급,오래오래,부사,오래오래 사세요
97,3급,올바르다,형용사,올바른 태도
98,3급,우연히,부사,우연히 발견하다
99,3급,원래02/원래01,명사/부사,원래 그렇다
100,3급,이따,부사,이따 만나요
101,3급,이리02,부사,이리 오다
102,3급,이만02,부사,이만 줄이다
103,3급,일부러,부사,
104,3급,자세하다,형용사,자세한 설명
105,3급,자유롭다,형용사,자유로운 생각
106,3급,저렴하다,형용사,저렴한 물건
107,3급,적어도,부사,
108,3급,절대01/절대02,명사/부사,절대 안정
109,3급,절대로,부사,절대로 아니다
110,3급,점차02/점차01,부사/명사,점차 좋아지다
111,3급,정말로,부사,정말로 믿다
112,3급,정신없다,형용사,구경에 정신없다
113,3급,정신없이,부사,정신없이 찾다
114,3급,정확히,부사,정확히 계산하다
115,3급,제대로,부사,제대로 갖추다
116,3급,종일02/종일01,명사/부사,종일 일하다
117,3급,즉,부사,
118,3급,지나치다02,형용사,지나친 운동
119,3급,지저분하다,형용사,길이 지저분하다
120,3급,쭉,부사,선을 쭉 긋다
121,3급,촌스럽다,형용사,옷차림이 촌스럽다
122,3급,충분히,부사,충분히 쉬다
123,3급,콜록콜록,부사,콜록콜록 기침을 하다
124,3급,통04,부사,통 말이 없다
125,3급,통통하다,형용사,몸매가 통통하다
126,3급,틀림없이,부사,틀림없이 맞다
127,3급,틈틈이,부사,틈틈이 하다
128,3급,하나하나01/하나하나02,명사/부사,하나하나 세다
129,3급,하하01,부사,하하 웃다
130,3급,한때01/한때02,명사/부사,한때의 감정
131,3급,한참00/한참,명사/부사,한참 기다리다
132,3급,혹은,부사,아들 혹은 딸
133,3급,환하다,형용사,불빛이 환하다
134,3급,활발하다,형용사,교류가 활발하다
135,3급,활짝,부사,활짝 열다
136,3급,희다00,형용사,흰 종이
