번호 Number,등급 Level,어휘 Vocabulary,품사 Word class,길잡이말 Guide
1,4급,가능성,명사,가능성이 높다
2,4급,가로등,명사,가로등이 켜지다
3,4급,가뭄,명사,가뭄이 들다
4,4급,가사03,명사,노래 가사
5,4급,가장02,명사,집안의 가장
6,4급,가정02,명사,가정을 세우다
7,4급,가정주부,명사,가정주부로 살다
8,4급,가지01,명사,가지를 꺾다
9,4급,가짜,명사,가짜 보석
10,4급,가치,명사,가치가 높다
11,4급,가치관,명사,가치관이 바뀌다
12,4급,가톨릭,명사,가톨릭을 믿다
13,4급,각국,명사,아시아 각국
14,4급,각오,명사,각오를 다지다
15,4급,각종,명사,각종 과일
16,4급,간03,명사,간 이식
17,4급,간04,의존명사,서울과 부산 간
18,4급,간격,명사,간격을 넓히다
19,4급,간섭,명사,간섭을 받다
20,4급,간접적01∙ 간접적02,관형사∙ 명사,간접적 영향
21,4급,간혹02/간혹01,부사/명사,간혹 생기다
22,4급,갈등,명사,갈등이 심하다
23,4급,감상문,명사,독서 감상문
24,4급,감소,명사,인구 감소
25,4급,감시,명사,감시를 당하다
26,4급,감옥,명사,감옥에 가두다
27,4급,강도03,명사,은행 강도
28,4급,강수량,명사,강수량이 많다
29,4급,강요,명사,강요를 받다
30,4급,강의,명사,강의를 듣다
31,4급,강의실,명사,대형 강의실
32,4급,강제,명사,강제로 시키다
33,4급,강조,명사,강조 사항
34,4급,갖가지,명사,갖가지 모양
35,4급,개구리,명사,개구리를 잡다
36,4급,개념,명사,개념을 이해하다
37,4급,개미,명사,벌레
38,4급,개발,명사,재능 개발
39,4급,개방,명사,개방 시간
40,4급,개별,명사,개별 행동
41,4급,개선01,명사,제도 개선
42,4급,개성,명사,개성이 강하다
43,4급,개최,명사,공동 개최
44,4급,개혁,명사,경제 개혁
45,4급,객관적01∙ 객관적02,관형사∙ 명사,객관적 증거
46,4급,거대,명사,거대 규모
47,4급,거래,명사,거래가 이루어지다
48,4급,거래처,명사,거래처 직원
49,4급,거미,명사,벌레
50,4급,거북이,명사,동물
51,4급,거지,명사,거지가 구걸하다
52,4급,거짓,명사,거짓으로 꾸미다
53,4급,건너,명사,길 건너
54,4급,건설,명사,아파트 건설
55,4급,건전지,명사,건전지를 갈다
56,4급,건축,명사,건축 공사
57,4급,검사01,명사,검사가 되다
